Unnamed: 0,word,root word,root language,second language,ranked languages
3175,racing,,,,
3176,railing,,,,
3177,raising,raising,American English,English,American English;English
3178,raisins,,,,
3179,rake,rake,Old English,,Old English
3180,rakish,rakish,Old English,,Old English
3181,raspberry,raspberry,Latin,Old French,Latin;Old French;Germanic;English
3182,rates,rate,Old French,Latin,Old French;Latin
3183,raw,raw,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Middle Dutch;Dutch;German;Sanskrit;Greek;Latin;Old Irish;Slavonic
3184,realised,realise,English,,English
3185,reared,,,,
3186,reasonable,reasonable,Old French,Latin,Old French;Latin
3187,reasons,,,,
3188,reassured,,,,
3189,recalled,,,,
3190,receding,,,,
3191,recently,recent,Latin,Greek,Latin;Greek;Sanskrit;Old Irish;Slavonic
3192,recitation,recitation,Old French,Latin,Old French;Latin;American English;English
3193,recognise,recognise,English,,English
3194,recollection,recollection,French,Latin,French;Latin
3195,redly,red,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin;Greek;Sanskrit;Slavonic;Polish;Russian;Old Irish;Welsh;American English
3196,reel,,,,
3197,refined,,,,
3198,reformed,reform,French,,French
3199,refreshed,refresh,Old French,Germanic,Old French;Germanic;German
3200,refreshment-room,,,,
3201,refusal,,,,
3202,regarded,regard,Old French,Germanic,Old French;Germanic
3203,region,region,Old French,Latin,Old French;Latin
3204,regular,,,,
3205,released,release,Old French,,Old French
3206,relief,relief,French,Italian,French;Italian;Latin
3207,reluctant,reluctant,Latin,Spanish,Latin;Spanish;Italian
3208,remove,,,,
3209,renewed,renew,English,Latin,English;Latin
3210,repeatedly,,,,
3211,replaced,,,,
3212,replied,,,,
3213,report,report,Old French,,Old French
3214,reporter,reporter,Old French,English,Old French;English
3215,resentment,resentment,French,,French
3216,reserve,reserve,French,,French
3217,reserved,,,,
3218,resident,resident,American English,English,American English;English
3219,resonant,resonant,Latin,,Latin
3220,resounding,,,,
3221,respectable,,,,
3222,respects,,,,
3223,respond,respond,Old French,Latin,Old French;Latin
3224,restrain,restrain,Old French,Latin,Old French;Latin
3225,resumed,resume,French,Latin,French;Latin
3226,resuming,,,,
3227,retired,,,,
3228,retreated,retreat,Old French,,Old French
3229,reunion,reunion,French,,French
3230,revealing,,,,
3231,revolving,,,,
3232,ribs,,,,
3233,rightly,rightly,Old English,,Old English
3234,righto,,,,
3235,rights,,,,
3236,ringsend,,,,
3237,riot,riot,Old French,Latin,Old French;Latin;English
3238,rival,,,,
3239,roads,,,,
3240,roll,roll,Old French,Latin,Old French;Latin
3241,rolling,,,,
3242,romance,romance,Old French,,Old French
3243,roofs,,,,
3244,roughly,,,,
3245,routine,routine,French,,French
3246,rubbing,rub,German,American English,German;American English;English
3247,rude,rude,Old French,Latin,Old French;Latin
3248,rudely,,,,
3249,rug,rug,Old Norse,Germanic,Old Norse;Germanic
3250,ruined,,,,
3251,rutland,,,,
3252,safely,,,,
3253,sailors,,,,
3254,sandymount,,,,
3255,sashes,sash,French,,French
3256,sauce,,,,
3257,saucers,,,,
3258,saved,,,,
3259,scanty,,,,
3260,scattered,scatter,English,Norse,English;Norse
3261,school-boy,,,,
3262,scotch,scotch,English,Irish,English;Irish
3263,scraping,,,,
3264,screaming,scream,Latin,,Latin
3265,searched,search,Old French,Latin,Old French;Latin;American English;English
3266,seas,,,,
3267,secretly,,,,
3268,seldom,seldom,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
3269,sell,sell,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
3270,senses,,,,
3271,sensibly,,,,
3272,sentenced,,,,
3273,seraun,,,,
3274,serge,serge,Old French,Latin,Old French;Latin;Greek;German
3275,sergeant,sergeant,Old French,Latin,Old French;Latin;Spanish;Italian;English
3276,series,series,Latin,Sanskrit,Latin;Sanskrit;Greek;Old Norse;Old Irish;Welsh
3277,seriously,,,,
3278,servant,servant,Old French,Latin,Old French;Latin;Greek
3279,service,service,Old French,Latin,Old French;Latin;English
3280,services,service,Old French,Latin,Old French;Latin;English
3281,setting,setting,English,,English
3282,settling,,,,
3283,seventy,seventy,Old English,Old Frisian,Old English;Old Frisian;Middle Dutch;Dutch;Old Norse
3284,severely,,,,
3285,sexual,sexual,Latin,,Latin
3286,shades,shades,American English,English,American English;English
3287,shakespeare,shakespeare,Old English,Welsh,Old English;Welsh
3288,shallow,shallow,Old English,,Old English
3289,share,share,Old English,Germanic,Old English;Germanic;German;Old Norse
3290,shared,share,Old English,Germanic,Old English;Germanic;German;Old Norse
3291,sheaf,sheaf,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse
3292,sheet,sheet,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German
3293,shelbourne,,,,
3294,shelter,,,,
3295,shepherded,,,,
3296,sheridan,,,,
3297,sheriff,sheriff,Old English,,Old English
3298,shilling,shilling,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;Dutch;Slavonic;Polish;Spanish;French;Italian
3299,shirt,shirt,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German
3300,shoe,shoe,Old English,,Old English
3301,shoeboy,,,,
3302,showing,show,American English,English,American English;English
3303,shown,,,,
3304,shrewdly,,,,
3305,shrugged,,,,
3306,shyness,,,,
3307,sickening,,,,
3308,siege,siege,Old French,Latin,Old French;Latin
3309,signalled,,,,
3310,signed,sign,Old French,Latin,Old French;Latin
3311,similar,similar,French,,French
3312,sins,,,,
3313,sip,sip,German,Old English,German;Old English
3314,sisters,,,,
3315,skerries,skerry,Old Norse,,Old Norse
3316,skirts,,,,
3317,slatternly,,,,
3318,slavey,,,,
3319,sleep,sleep,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin;Greek
3320,sleepy,sleepy,Old English,German,Old English;German
3321,slender,slender,Old French,Old Dutch,Old French;Old Dutch
3322,slim,,,,
3323,sloping,slop,Middle Dutch,Dutch,Middle Dutch;Dutch;Old Norse;Old English
3324,slow,slow,Old English,,Old English
3325,slung,,,,
3326,smallest,,,,
3327,smoked,smoke,Old English,,Old English
3328,smoothed,smooth,Old English,,Old English
3329,smoothly,,,,
3330,sobs,,,,
3331,soldiers,,,,
3332,solicitude,solicitude,French,Latin,French;Latin
3333,solitary,solitary,Old French,Latin,Old French;Latin
3334,somebody,,,,
3335,son-in-law,,,,
3336,songs,,,,
3337,sore,sore,Old English,Old Norse,Old English;Old Norse;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Irish
3338,sought,sought,Old English,,Old English
3339,spacious,spacious,Old French,Latin,Old French;Latin
3340,spark,,,,
3341,spasm,spasm,Old French,Latin,Old French;Latin;Greek
3342,speaker,speaker,Old Frisian,German,Old Frisian;German;French;English
3343,speaks,,,,
3344,specially,,,,
3345,speck,speck,Old English,Dutch,Old English;Dutch;Middle Dutch
3346,spectators,,,,
3347,spell,spell,Old English,,Old English
3348,spiced,spice,Old French,Latin,Old French;Latin
3349,spoon,,,,
3350,spoons,,,,
3351,spots,,,,
3352,sprang,,,,
3353,spread,spread,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German
3354,squalid,squalid,French,Latin,French;Latin
3355,squat,,,,
3356,starch,,,,
3357,stare,,,,
3358,stars,,,,
3359,state,state,Latin,,Latin
3360,stature,stature,Old French,Latin,Old French;Latin
3361,steered,steer,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Greek
3362,stems,,,,
3363,stiff,,,,
3364,stomach,stomach,Old French,Latin,Old French;Latin;Spanish;Italian;Greek;English
3365,stones,stone,Old English,,Old English
3366,straggling,,,,
3367,strain,,,,
3368,streaks,,,,
3369,stress,stress,French,Latin,French;Latin
3370,stretched,,,,
3371,strewn,,,,
3372,stride,stride,Old English,Dutch,Old English;Dutch;German
3373,struggled,,,,
3374,stupefied,,,,
3375,stupidly,stupid,French,Latin,French;Latin;Old English;German
3376,stylish,,,,
3377,subdued,,,,
3378,submit,submit,Latin,,Latin
3379,suburbs,,,,
3380,successful,,,,
3381,suffered,suffer,Old French,Latin,Old French;Latin;Old English
3382,sufficient,sufficient,Old French,Latin,Old French;Latin
3383,sun,sun,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;German;Middle Dutch;Dutch;Old Irish;Spanish
3384,sung,,,,
3385,sup,sup,Old French,,Old French
3386,superior,superior,Latin,,Latin
3387,supper-room,,,,
3388,suppers,,,,
3389,surely,,,,
3390,surgeons,,,,
3391,surname,surname,Latin,Old French,Latin;Old French;Old English
3392,surplice,surplice,Old French,Latin,Old French;Latin
3393,surrounded,surround,French,Latin,French;Latin;English
3394,sustained,sustain,Old French,Latin,Old French;Latin
3395,swaddlers,,,,
3396,swarthy,,,,
3397,swing,swing,Old English,,Old English
3398,swishing,,,,
3399,sydney,sydney,Old English,,Old English
3400,symbol,symbol,Latin,Greek,Latin;Greek
3401,system,system,Latin,Greek,Latin;Greek
3402,t,,,,
3403,tablecloth,,,,
3404,talents,,,,
3405,tallied,,,,
3406,tart,,,,
3407,tastes,taste,Old French,German,Old French;German;Russian
3408,temper,,,,
3409,tempered,,,,
3410,temptations,,,,
3411,tempted,tempt,Old French,Latin,Old French;Latin
3412,terrace,terrace,Old French,Latin,Old French;Latin
3413,terror,terror,Old French,Latin,Old French;Latin;German;Old English
3414,terry,terry,French,German,French;German
3415,thankful,thankful,Old English,,Old English
3416,theatrical,,,,
3417,theirs,,,,
3418,theory,theory,Latin,Greek,Latin;Greek
3419,thinly,thin,Old English,German,Old English;German;Dutch
3420,thirst,thirst,Old English,Old Saxon,Old English;Old Saxon;Dutch;German
3421,thought-tormented,,,,
3422,throwing,,,,
3423,thus,thus,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch
3424,ticket,,,,
3425,tied,tie,Old English,Germanic,Old English;Germanic;Old Norse;American English
3426,timid,timid,French,Latin,French;Latin
3427,timidly,timid,French,Latin,French;Latin
3428,tin,tin,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German;Old Norse;French;Latin
3429,tirade,tirade,Italian,Old French,Italian;Old French
3430,tivoli,,,,
3431,toes,toe,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German
3432,topped,,,,
3433,touching,,,,
3434,tragic,tragic,Latin,Greek,Latin;Greek
3435,transfer,,,,
3436,traveller,,,,
3437,traversed,traverse,Old French,,Old French
3438,tray,tray,Old English,Germanic,Old English;Germanic
3439,treble,treble,Old French,,Old French
3440,tricks,,,,
3441,triumph,triumph,Old French,Latin,Old French;Latin
3442,truculent,truculent,Latin,,Latin
3443,trust,trust,Old Norse,,Old Norse
3444,trustfulness,,,,
3445,tuam,,,,
3446,tumbled,,,,
3447,tumblers,,,,
3448,tune,,,,
3449,twelve,twelve,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
3450,twilight,twilight,Dutch,German,Dutch;German;Sanskrit;English
3451,twinkling,twink,Old English,,Old English
3452,twopence,,,,
3453,uch,,,,
3454,ugly,ugly,Old Norse,Greek,Old Norse;Greek;Latin;Irish;Sanskrit;Germanic;English
3455,umbrellas,,,,
3456,unassuming,,,,
3457,unaware,,,,
3458,underfoot,underfoot,Middle Dutch,Dutch,Middle Dutch;Dutch;English
3459,undertone,,,,
3460,undressing,,,,
3461,unfortunate,,,,
3462,unfortunately,,,,
3463,united,,,,
3464,unpleasant,,,,
3465,unsettled,,,,
3466,unsuccessfully,,,,
3467,unusual,,,,
3468,upright,upright,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse
3469,upset,,,,
3470,usha,,,,
3471,utter,utter,Middle Dutch,Dutch,Middle Dutch;Dutch;German;Old English
3472,vacantly,vacant,Old French,Latin,Old French;Latin
3473,vagrant,vagrant,French,,French
3474,vases,vase,Old French,Latin,Old French;Latin;American English;English
3475,veiled,veil,Old French,Latin,Old French;Latin
3476,version,version,French,Latin,French;Latin;English
3477,vexation,vexation,Old French,Latin,Old French;Latin
3478,victim,victim,Latin,Old English,Latin;Old English;German
3479,violently,violent,Old French,Latin,Old French;Latin;English
3480,vision,vision,Old French,Latin,Old French;Latin;Sanskrit;Greek;Old Irish;Welsh;Old English;German;Polish
3481,visions,,,,
3482,vivid,vivid,French,Latin,French;Latin
3483,volubly,,,,
3484,volume,volume,Old French,Latin,Old French;Latin;English
3485,volumes,volume,Old French,Latin,Old French;Latin;English
3486,waken,waken,Old English,,Old English
3487,waltzing,,,,
3488,wane,wane,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
3489,washstand,,,,
3490,waste,waste,Old French,Latin,Old French;Latin;Old English
3491,weakened,,,,
3492,weigh,weigh,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;Old Norse;German;Sanskrit;Greek;Latin;Slavonic;Old Irish
3493,wellington,,,,
3494,westland,,,,
3495,wharf,wharf,Old English,Germanic,Old English;Germanic;German;Old Norse;Greek;Sanskrit
3496,whistle,whistle,Old English,,Old English
3497,whistling,whistling,Old English,,Old English
3498,wide-awake,,,,
3499,wine-coloured,,,,
3500,wine-glasses,,,,
3501,winning,win,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Dutch;German
3502,wiped,,,,
3503,wiping,,,,
3504,wires,,,,
3505,wise,wise,Old English,Old Frisian,Old English;Old Frisian;Old Saxon;Middle Dutch;Dutch;German
3506,wiser,,,,
3507,wits,,,,
3508,wonder,wonder,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse
3509,wondering,wonder,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse
3510,work-girls,,,,
3511,worshippers,,,,
3512,wretched,,,,
3513,y,,,,
3514,yards,,,,
3515,yelling,,,,
3516,yesterday,yesterday,Old English,,Old English
3517,youngsters,,,,
3518,yourselves,,,,
3519,57e,,,,
3520,a.p,,,,
3521,aback,aback,Old English,,Old English
3522,abandoned,,,,
3523,abbot,abbot,Old English,Latin,Old English;Latin;Greek
3524,abhorred,,,,
3525,abject,abject,Latin,,Latin
3526,about—them,,,,
3527,absent,,,,
3528,absentmindedness,,,,
3529,absolve,absolve,Latin,,Latin
3530,abstinent,abstinent,Old French,Latin,Old French;Latin
3531,abstract,,,,
3532,abu,,,,
3533,abundance,abundance,Old French,Latin,Old French;Latin
3534,abuse,abuse,Old French,Latin,Old French;Latin;English
3535,abused,abuse,Old French,Latin,Old French;Latin;English
3536,accidents,,,,
3537,acclamation,acclamation,Latin,French,Latin;French
3538,accommodation,accommodation,French,Latin,French;Latin
3539,accompaniment,accompaniment,French,,French
3540,accordance,accordance,Old French,English,Old French;English
3541,accordingly,,,,
3542,accountant,accountant,Old French,English,Old French;English
3543,accurately,accurate,Latin,,Latin
3544,accused,,,,
3545,accustomed,,,,
3546,ached,ache,Old English,Germanic,Old English;Germanic;Sanskrit;Greek
3547,achieved,achieve,Old French,Latin,Old French;Latin
3548,aching,,,,
3549,acquaintances,acquaintance,Old French,,Old French
3550,acquiescence,acquiescence,French,,French
3551,acres,acre,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Latin;Greek;Sanskrit
3552,acrobat,acrobat,French,Greek,French;Greek
3553,action,action,Old French,Latin,Old French;Latin
3554,actively,,,,
3555,actor,actor,Latin,,Latin
3556,actuated,actuate,Latin,,Latin
3557,acute,acute,Latin,,Latin
3558,acutely,acute,Latin,,Latin
3559,adam,adam,Latin,,Latin
3560,adapted,adapt,French,Latin,French;Latin
3561,adding,,,,
3562,address—london,,,,
3563,adieus,,,,
3564,admiringly,,,,
3565,adoration,adoration,French,Latin,French;Latin
3566,adorned,adorn,Old French,Latin,Old French;Latin;English
3567,adroitness,,,,
3568,adventureless,,,,
3569,adverting,,,,
3570,advise,advise,Old French,,Old French
3571,advising—homely,,,,
3572,affected,,,,
3573,affections,,,,
3574,affirmed,affirm,Old French,Latin,Old French;Latin;English
3575,afforded,afford,Old English,Latin,Old English;Latin
3576,affront,,,,
3577,aforesaid—and,,,,
3578,afternoon,afternoon,English,,English
3579,afterward,afterward,Old English,,Old English
3580,again—taking,,,,
3581,aged,,,,
3582,agencies,agency,Latin,,Latin
3583,ages,age,Old French,Latin,Old French;Latin;Spanish;Italian
3584,agile,agile,French,Latin,French;Latin
3585,aging,a,Old English,,Old English
3586,agony,agony,Old French,Latin,Old French;Latin;Greek
3587,agree,agree,Old French,Latin,Old French;Latin
3588,agreeable,agreeable,Old French,,Old French
3589,agreeably,,,,
3590,aim,aim,Old French,Latin,Old French;Latin
3591,aimlessly,,,,
3592,airing,,,,
3593,airs,,,,
3594,aisles,aisle,Old French,Latin,Old French;Latin
3595,alacoque,,,,
3596,alcove,alcove,French,Spanish,French;Spanish;Arabic
3597,alight,alight,Old English,,Old English
3598,alighted,alight,Old English,,Old English
3599,alike,alike,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Norse
3600,allan,,,,
3601,allen,,,,
3602,alley,alley,Old French,Latin,Old French;Latin;American English;English
3603,alleys,,,,
3604,alls,,,,
3605,almighty,almighty,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Latin
3606,almond,almond,Old French,Latin,Old French;Latin;Greek;Spanish;Arabic
3607,alms,alms,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Latin;Old French;Italian;Greek
3608,also—a,,,,
3609,altars,,,,
3610,alter,alter,Old French,Latin,Old French;Latin
3611,amateur,amateur,French,Latin,French;Latin
3612,ambulance,ambulance,French,Latin,French;Latin;English
3613,amen,amen,Old English,Latin,Old English;Latin;Greek
3614,america,america,Latin,Germanic,Latin;Germanic;Old English;Italian;German
3615,amiability,,,,
3616,amidst,,,,
3617,amy,amy,Old French,Latin,Old French;Latin
3618,analogy,analogy,Old French,Latin,Old French;Latin;Greek
3619,ancestral,ancestral,Old French,,Old French
3620,ancient,ancient,Old French,Latin,Old French;Latin;English
3621,and——,,,,
3622,anew,anew,Old English,,Old English
3623,angelical,,,,
3624,angered,anger,Old Norse,,Old Norse
3625,angle,angle,Old French,Latin,Old French;Latin;Greek;Slavonic;Sanskrit;Old English;German
3626,animation,animation,Latin,,Latin
3627,ankles,ankle,Old English,Old Norse,Old English;Old Norse;Old Frisian;Germanic;German;Dutch
3628,annihilate,annihilate,Old French,Latin,Old French;Latin
3629,anniversary,anniversary,Latin,Old English,Latin;Old English
3630,annoy,annoy,Old French,Latin,Old French;Latin;English
3631,annoyance,annoyance,Old French,,Old French
3632,annual,,,,
3633,anointed,,,,
3634,ant,ant,Old English,Germanic,Old English;Germanic;German
3635,anticipation,anticipation,Latin,,Latin
3636,antique,,,,
3637,anxiety,anxiety,Latin,Old English,Latin;Old English
3638,anxiously,anxious,Latin,,Latin
3639,apache,apache,Spanish,French,Spanish;French;German
3640,apolinaris,,,,
3641,apologetic,apologetic,French,Latin,French;Latin;Greek
3642,apologised,apologise,English,,English
3643,apparently,,,,
3644,appearing,appear,Old French,Latin,Old French;Latin
3645,applauding,applaud,Latin,English,Latin;English
3646,apple-tree,,,,
3647,applying,apply,Old French,Latin,Old French;Latin
3648,appointed,,,,
3649,appreciable,appreciable,French,Latin,French;Latin
3650,appreciation,appreciation,Old French,Latin,Old French;Latin
3651,appreciative,,,,
3652,apprehend,apprehend,Old French,Latin,Old French;Latin;English
3653,apprehensively,apprehensive,Latin,,Latin
3654,approach,,,,
3655,appropriateness,,,,
3656,approving,,,,
3657,approvingly,,,,
3658,arab,arab,Old French,Latin,Old French;Latin;Greek;Arabic
3659,aramburo,,,,
3660,aran,,,,
3661,archly,,,,
3662,ardently,ardent,Old French,Latin,Old French;Latin;Old English
3663,ardour,ardour,English,,English
3664,areas,,,,
3665,are—we,,,,
3666,argumentatively,argumentative,Old French,Latin,Old French;Latin
3667,arise,arise,Old English,Old Saxon,Old English;Old Saxon
3668,armed,,,,
3669,aromatic,aromatic,French,Latin,French;Latin;Greek
3670,aroused,,,,
3671,arrangements,,,,
3672,array,array,Old French,,Old French
3673,arrival,arrival,Old French,,Old French
3674,arrowroot,,,,
3675,arteries,artery,Old French,Latin,Old French;Latin;Greek;English
3676,articles,article,Old French,Latin,Old French;Latin
3677,arts,,,,
3678,ascended,ascend,Latin,Old English,Latin;Old English
3679,ascent,,,,
3680,ashen-grey,,,,
3681,ashpit,,,,
3682,ashpits,,,,
3683,asks,,,,
3684,aspen,aspen,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German
3685,aspirated,aspirate,Latin,,Latin
3686,assailed,assail,Old French,Latin,Old French;Latin
3687,assemble,assemble,Old French,Latin,Old French;Latin;English
3688,assembly,assembly,Old French,,Old French
3689,assert,assert,Latin,,Latin
3690,assisted,,,,
3691,associated,,,,
3692,association,association,Latin,,Latin
3693,assurance,assurance,Old French,,Old French
3694,assure,assure,Old French,Latin,Old French;Latin
3695,aston,,,,
3696,astonishment,,,,
3697,astounded,astound,English,Latin,English;Latin
3698,astuteness,,,,
3699,asunder,asunder,Old English,,Old English
3700,atalantas,,,,
3701,atkinson,,,,
3702,atlantic,atlantic,Latin,Greek,Latin;Greek
3703,atmosphere,atmosphere,Latin,Greek,Latin;Greek;English
3704,atom,atom,Latin,Greek,Latin;Greek
3705,attack,attack,English,,English
3706,attacking,attack,English,,English
3707,attempts,,,,
3708,attendances,attendance,Old French,,Old French
3709,attracted,attract,Latin,,Latin
3710,audible,audible,French,Latin,French;Latin
3711,auditors,,,,
3712,august,august,Latin,,Latin
3713,aungier,,,,
3714,author,,,,
3715,authoritative,authoritative,Latin,,Latin
3716,autobiographical,,,,
3717,average,,,,
3718,avoided,avoid,Old French,English,Old French;English
3719,awarded,award,Old French,,Old French
3720,awful,awful,Old English,,Old English
3721,awkwardly,,,,
3722,b,,,,
3723,bacon-fat,,,,
3724,bacon-rind,,,,
3725,badge,badge,French,Latin,French;Latin
3726,badges,badge,French,Latin,French;Latin
3727,baffled,,,,
3728,baggages,baggage,Old French,American English,Old French;American English;English
3729,bailiff's,,,,
3730,bailiffs,,,,
3731,balbrigan,,,,
3732,balfe,,,,
3733,ballad,ballad,French,Latin,French;Latin
3734,ballooned,,,,
3735,balls,,,,
3736,ballsbridge,,,,
3737,balustrade,balustrade,French,Italian,French;Italian
3738,banded,band,French,Germanic,French;Germanic
3739,bang,bang,Old Norse,,Old Norse
3740,banged,bang,Old Norse,,Old Norse
3741,banish,banish,Old French,Germanic,Old French;Germanic;Latin
3742,banister-rail,,,,
3743,banknotes,,,,
3744,banshee,banshee,Irish,,Irish
3745,bantam,bantam,Dutch,,Dutch
3746,baptismal,,,,
3747,bare-headed,,,,
3748,barely,barely,Old English,,Old English
3749,bargain,bargain,Old French,,Old French
3750,bargaining,bargain,Old French,,Old French
3751,barges,barge,American English,English,American English;English
3752,barmbrack,,,,
3753,barometer,barometer,Greek,English,Greek;English
3754,barracks,,,,
3755,barrels,,,,
3756,barren,barren,Old French,Germanic,Old French;Germanic;English
3757,barrier,barrier,Old French,,Old French
3758,bars,,,,
3759,bathroom,,,,
3760,battalion,battalion,French,Italian,French;Italian;Latin
3761,batter,batter,Old French,Latin,Old French;Latin
3762,battered,batter,Old French,Latin,Old French;Latin
3763,battles,battle,Old French,Latin,Old French;Latin
3764,bawled,bawl,Old Norse,Latin,Old Norse;Latin;American English;English
3765,beady,,,,
3766,beannacht,,,,
3767,beans,,,,
3768,beats,,,,
3769,beauties,beauty,Old French,Latin,Old French;Latin;Old English
3770,beautifully,,,,
3771,beauty,beauty,Old French,Latin,Old French;Latin;Old English
3772,beckon,beckon,Old English,Germanic,Old English;Germanic;Old Saxon;German
3773,beckoned,beckon,Old English,Germanic,Old English;Germanic;Old Saxon;German
3774,bedclothes,,,,
3775,beds,,,,
3776,bedstead,,,,
3777,beeswax,,,,
3778,beg,beg,Old English,Germanic,Old English;Germanic;Old French;Latin
3779,beggars,,,,
3780,beginners,,,,
3781,begins,,,,
3782,begone,,,,
3783,behaved,behave,German,French,German;French;Old English
3784,beheld,,,,
3785,being—that,,,,
3786,belfry,belfry,Latin,French,Latin;French;German;Germanic
3787,belgian,,,,
3788,belie,belie,Old English,,Old English
3789,beliefs,,,,
3790,believer,,,,
3791,bell's,,,,
3792,belle,belle,Old French,Latin,Old French;Latin
3793,belong,belong,Old English,Middle Dutch,Old English;Middle Dutch;Dutch;German
3794,bended,,,,
3795,bequeathed,bequeath,Old English,Germanic,Old English;Germanic
3796,berlin,berlin,German,,German
3797,bessie,,,,
3798,bet,bet,Old English,Germanic,Old English;Germanic;American English
3799,betokened,betoken,Old English,,Old English
3800,betray,betray,English,Old French,English;Old French;Latin
3801,betrayed,betray,English,Old French,English;Old French;Latin
3802,betrayer,,,,
3803,better-class,,,,
3804,bevelled,,,,
3805,bewildered,,,,
3806,bewley,,,,
3807,bicycle-pump,,,,
3808,bid,bid,Old English,Germanic,Old English;Germanic;German;Old Saxon;Old Frisian;Old Norse
3809,bile,bile,French,Latin,French;Latin
3810,billiard,,,,
3811,bird,bird,Old English,Germanic,Old English;Germanic
3812,birthday,birthday,Old English,,Old English
3813,biscuit-barrel,,,,
3814,bite,bite,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin
3815,bits,,,,
3816,bitterly,,,,
3817,bitterness,bitterness,Old English,,Old English
3818,blackened,,,,
3819,blackthorn,,,,
3820,blackwhite,,,,
3821,blade,blade,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Saxon;Dutch;Old Norse;Old French
3822,blandly,bland,Italian,Old French,Italian;Old French;Latin;English
3823,blank,blank,French,,French
3824,blankets,,,,
3825,blankly,blank,French,,French
3826,blathering,,,,
3827,bleaching,bleach,Old English,,Old English
3828,bleak,bleak,Old Norse,Germanic,Old Norse;Germanic;Old English
3829,blended,blende,German,,German
3830,blew,blew,Old English,,Old English
3831,blindfold,,,,
3832,blindfolding,,,,
3833,blinds,,,,
3834,blinked,blink,English,,English
3835,bliss,,,,
3836,blocks,,,,
3837,blond,,,,
3838,bloody-minded,,,,
3839,blooming,,,,
3840,blotches,,,,
3841,bluish,,,,
3842,blush-pink,,,,
3843,blushes,,,,
3844,boa,boa,Latin,English,Latin;English;Greek
3845,boasting,,,,
3846,bob—and,,,,
3847,bodice,,,,
3848,bodiless,,,,
3849,bog,bog,Irish,,Irish
3850,boilers,,,,
3851,boldest,,,,
3852,bona,bona,English,,English
3853,bonaparte,,,,
3854,bone,bone,German,English,German;English
3855,bones,bones,American English,English,American English;English
3856,bonnet,bonnet,Old French,Latin,Old French;Latin;Germanic
3857,bony,,,,
3858,bookcase,bookcase,Old English,,Old English
3859,booked,book,Old English,,Old English
3860,booksellers,,,,
3861,bookshelf,,,,
3862,bookworm,,,,
3863,boosing,boo,Latin,Greek,Latin;Greek
3864,boot,boot,Spanish,,Spanish
3865,bootees,,,,
3866,bootmaker,,,,
3867,borders,,,,
3868,borgia,,,,
3869,borrowed,borrow,Old English,Germanic,Old English;Germanic;Old Norse;Middle Dutch;Dutch;German
3870,boss,,,,
3871,bostooms,,,,
3872,bottle-green,,,,
3873,bottled,,,,
3874,bottom,,,,
3875,bounded,,,,
3876,bouquet,bouquet,English,Old French,English;Old French;Latin
3877,bouts,,,,
3878,bowing,bo,Sanskrit,,Sanskrit
3879,bowler,bowler,Old English,,Old English
3880,bowsy,,,,
3881,box-office,,,,
3882,boyos,,,,
3883,boy—a,,,,
3884,bracelet,bracelet,Old French,Latin,Old French;Latin
3885,bracing,,,,
