word,word count,root word,root language,second language,ranked languages
youre,4,,,,
zrads,4,,,,
—his,4,,,,
—hold,4,,,,
—show,4,,,,
—take,4,,,,
—this,4,,,,
—those,4,,,,
—two,4,,,,
—when,4,,,,
—which,4,,,,
—with,4,,,,
1/2d,3,,,,
111,3,,,,
13,3,,,,
18,3,,,,
1894,3,,,,
19,3,,,,
1901,3,,,,
1d,3,,,,
1st,3,,,,
2d,3,,,,
40,3,,,,
46,3,,,,
4d,3,,,,
50,3,,,,
54,3,,,,
70,3,,,,
abandoned,3,,,,
abnegation,3,abnegation,Latin,,Latin
absent,3,,,,
absentminded,3,,,,
absolute,3,absolute,Old French,Latin,Old French;Latin
accompany,3,accompany,Old French,,Old French
accordance,3,accordance,Old French,English,Old French;English
accounts,3,account,Old French,,Old French
aconite,3,aconite,French,Latin,French;Latin;Greek
acting,3,,,,
activity,3,activity,Old French,Latin,Old French;Latin
acts,3,,,,
actual,3,actual,Old French,Latin,Old French;Latin
add,3,add,Latin,,Latin
adhered,3,adhere,French,Latin,French;Latin
adjoining,3,adjoin,Old French,Latin,Old French;Latin
admiralty,3,admiralty,English,Old French,English;Old French
admire,3,admire,Old French,Latin,Old French;Latin
admitted,3,admit,Latin,,Latin
adore,3,adore,Old French,Latin,Old French;Latin
adulterer,3,adulterer,Latin,,Latin
adulteress,3,,,,
adultery,3,adultery,Old French,Latin,Old French;Latin;Old English;German
advice,3,advice,Old French,Latin,Old French;Latin;English
advised,3,advise,Old French,,Old French
aengus,3,,,,
affirmation,3,affirmation,Old French,Latin,Old French;Latin
africa,3,africa,Latin,Arabic,Latin;Arabic;English
afterwards,3,,,,
agents,3,,,,
aim,3,aim,Old French,Latin,Old French;Latin
alarm,3,,,,
alas,3,alas,Old French,Latin,Old French;Latin
allayed,3,allay,Old English,Germanic,Old English;Germanic;German;Latin
allfours,3,,,,
allusion,3,allusion,Latin,,Latin
almanac,3,almanac,Latin,Old French,Latin;Old French;Spanish;Arabic;Greek
almidano,3,,,,
aloft,3,aloft,Old Norse,German,Old Norse;German;Old English
aloysius,3,aloysius,Latin,Old French,Latin;Old French
alteration,3,alteration,Old French,Latin,Old French;Latin
alternately,3,,,,
altitude,3,altitude,Latin,,Latin
ambled,3,amble,Old French,Latin,Old French;Latin;Greek
amen,3,amen,Old English,Latin,Old English;Latin;Greek
america,3,america,Latin,Germanic,Latin;Germanic;Old English;Italian;German
amiens,3,,,,
amusement,3,amusement,French,,French
analysis,3,analysis,Latin,Greek,Latin;Greek;French
angel,3,angel,Old English,Old French,Old English;Old French;Latin;Greek;Sanskrit
anger,3,anger,Old Norse,,Old Norse
ankles,3,ankle,Old English,Old Norse,Old English;Old Norse;Old Frisian;Germanic;German;Dutch
anticipating,3,anticipate,Latin,,Latin
antiquity,3,antiquity,Old French,Latin,Old French;Latin
antonio,3,,,,
anxiously,3,anxious,Latin,,Latin
ape,3,ape,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Dutch;German;Old Irish
apiece,3,,,,
apparently,3,,,,
appear,3,appear,Old French,Latin,Old French;Latin
appetite,3,appetite,Old French,Latin,Old French;Latin
apples,3,apple,French,,French
appreciation,3,appreciation,Old French,Latin,Old French;Latin
approval,3,approval,French,,French
aproned,3,apron,Old French,Latin,Old French;Latin
arbour,3,arbour,English,,English
arent,3,,,,
armpit,3,,,,
aromatic,3,aromatic,French,Latin,French;Latin;Greek
arrival,3,arrival,Old French,,Old French
arrive,3,arrive,Old French,Latin,Old French;Latin
artifoni,3,,,,
artistic,3,artistic,French,,French
ash,3,ash,Old English,Germanic,Old English;Germanic;Old Norse;German;Sanskrit;Greek;Latin;Spanish
ashamed,3,ashamed,Old English,,Old English
askance,3,askance,English,Old French,English;Old French;Latin;Italian
assault,3,assault,Old French,Latin,Old French;Latin
assistant,3,assistant,French,,French
association,3,association,Latin,,Latin
assuming,3,assume,Latin,,Latin
assurance,3,assurance,Old French,,Old French
assured,3,,,,
astray,3,astray,Old French,,Old French
athos,3,,,,
attempted,3,,,,
attendance,3,attendance,Old French,,Old French
attitude,3,attitude,French,Italian,French;Italian;Latin
augmented,3,,,,
august,3,august,Latin,,Latin
austria,3,austria,Latin,German,Latin;German
austrian,3,,,,
automatic,3,,,,
autumn,3,autumn,Old French,Latin,Old French;Latin;English;Italian;Spanish;Old Irish
avarice,3,avarice,Old French,Latin,Old French;Latin
avoid,3,avoid,Old French,English,Old French;English
aware,3,aware,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German
awe,3,awe,Old Norse,Germanic,Old Norse;Germanic;Old English;German;Greek
awry,3,,,,
babies,3,,,,
backache,3,,,,
backbone,3,,,,
backdoor,3,,,,
backs,3,back,English,,English
banged,3,bang,Old Norse,,Old Norse
barber,3,barber,Old French,English,Old French;English;Latin
bards,3,bard,Welsh,English,Welsh;English;Greek;Latin
bared,3,bare,Old English,,Old English
bark,3,bark,Old English,Germanic,Old English;Germanic;Old Norse
barony,3,barony,Old French,Latin,Old French;Latin
bars,3,bar,Old French,Latin,Old French;Latin
batch,3,batch,Old English,,Old English
bathing,3,,,,
battered,3,batter,Old French,Latin,Old French;Latin
bawled,3,bawl,Old Norse,Latin,Old Norse;Latin;American English;English
beach,3,beach,Old English,Germanic,Old English;Germanic;French
beam,3,beam,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin
beaming,3,beam,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Latin
beastly,3,,,,
beasts,3,beast,Old French,Latin,Old French;Latin;Old English
becalmed,3,,,,
beck,3,,,,
beckoned,3,beckon,Old English,Germanic,Old English;Germanic;Old Saxon;German
