word,word count,root word,root language,second language,ranked languages
heart,111,heart,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German;Greek;Latin;Old Irish;Welsh;Russian;Slavonic
left,111,,,,
always,110,always,Old English,,Old English
god,110,god,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Slavonic;Sanskrit;Greek;Latin
told,109,told,Old English,,Old English
yourself,108,,,,
answered,107,answer,Old English,,Old English
knew,107,knew,Old English,,Old English
life,107,life,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German
does,106,does,Old English,,Old English
question,106,question,Old French,Latin,Old French;Latin
sister,106,sister,Old English,Old Norse,Old English;Old Norse;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh;Greek;French
minute,102,minute,Old French,Latin,Old French;Latin;German;Dutch
simply,102,,,,
table,101,,,,
three,101,three,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Sanskrit;Greek;Latin;Slavonic;Irish;Welsh;French
whole,101,whole,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;Slavonic
ca,100,,,,
gave,100,,,,
our,99,our,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Latin
really,99,,,,
speak,99,speak,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Old Norse;Greek
luzhin,98,,,,
place,98,place,French,,French
round,98,,,,
street,98,street,Old English,Latin,Old English;Latin;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Spanish;Old French;Italian
avdotya,97,,,,
most,97,most,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Dutch;German
romanovna,97,,,,
sat,97,,,,
wo,97,,,,
thing,96,thing,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse;French;Spanish;Latin
every,95,every,Old English,,Old English
things,95,thing,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse;French;Spanish;Latin
herself,94,herself,Old English,,Old English
seen,93,seen,Old English,,Old English
walked,93,,,,
while,93,while,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;German;Old Norse;Latin;Slavonic
ask,92,ask,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Slavonic
children,92,,,,
house,91,house,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
young,91,young,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh
home,90,home,Old English,Germanic,Old English;Germanic;Old Frisian;Old Norse;Middle Dutch;Dutch;German;Sanskrit;Greek;Slavonic
yet,90,yet,Old English,Old Frisian,Old English;Old Frisian;German;Germanic
these,88,these,Old English,,Old English
find,87,,,,
soon,87,soon,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;American English
girl,86,girl,Old English,German,Old English;German;Greek
standing,86,,,,
matter,85,matter,Old French,Latin,Old French;Latin;English;Greek
nastasya,85,,,,
under,85,under,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Old Norse;Sanskrit;Latin
words,85,word,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Latin
shouted,84,,,,
both,83,both,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
zossimov,83,,,,
sort,82,sort,Old French,Latin,Old French;Latin
remember,81,remember,Old French,Latin,Old French;Latin;English
to-day,81,,,,
d,80,,,,
night,80,night,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Frisian;Dutch;Old Norse;Greek;Latin;Old Irish;Sanskrit;Slavonic;Russian;Welsh
smile,80,smile,German,Germanic,German;Germanic;Old English;Latin
idea,79,idea,Latin,Greek,Latin;Greek;French
mean,79,mean,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Dutch;German;Slavonic;Old Irish;Welsh
ran,79,ran,Old English,,Old English
zametov,79,,,,
ah,78,ah,Old English,Old French,Old English;Old French
open,78,open,English,,English
new,77,new,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Middle Dutch;Dutch;German;Sanskrit;Persian;Greek;Slavonic;Russian;Latin;Old Irish;Welsh
rather,77,rather,Old English,Germanic,Old English;Germanic;Old Norse;German
alone,76,alone,Old English,German,Old English;German;Dutch
those,75,those,Old English,,Old English
already,74,already,German,,German
being,74,,,,
fact,74,fact,Latin,Old French,Latin;Old French;Spanish;Italian
added,73,,,,
done,73,done,Old English,,Old English
hear,73,hear,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German
talking,73,,,,
wanted,73,,,,
coming,72,,,,
half,72,half,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
least,72,least,Old English,Germanic,Old English;Germanic
rodion,72,,,,
voice,72,,,,
afraid,71,afraid,Old French,English,Old French;English
father,71,,,,
brought,70,,,,
business,70,business,Old English,American English,Old English;American English
men,70,,,,
roubles,70,,,,
sofya,70,,,,
stairs,70,stair,Old English,Germanic,Old English;Germanic;Middle Dutch;Dutch;German;Greek;Sanskrit;Slavonic;Old Irish;Welsh
years,70,year,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Old Frisian;Dutch;Greek;Slavonic;Latin
keep,69,keep,Old English,Germanic,Old English;Germanic;Latin
point,68,point,Old French,,Old French
sofa,68,sofa,Turkish,Arabic,Turkish;Arabic
talk,68,,,,
case,67,case,American English,English,American English;English
doing,67,,,,
flat,67,flat,Old English,,Old English
muttered,67,mutter,Old Norse,Latin,Old Norse;Latin;German
side,67,side,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;German
corner,66,corner,American English,English,American English;English
found,66,,,,
help,66,help,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Middle Dutch;Dutch;German;French
far,65,far,Old English,Old Saxon,Old English;Old Saxon;Old Frisian;Old Norse;Dutch;German;Germanic
semyonovna,65,,,,
thinking,65,thin,Old English,German,Old English;German;Dutch
against,64,,,,
drunk,64,drunk,American English,English,American English;English
enough,64,enough,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Old Norse;Latin;Sanskrit
gone,64,,,,
later,64,,,,
nonsense,64,nonsense,French,,French
passed,64,passe,French,,French
police,64,police,French,Latin,French;Latin;Greek;English
end,63,end,Old English,Germanic,Old English;Germanic;Old Frisian;Old Dutch;Old Norse;German
feeling,63,,,,
ago,62,ago,Old English,,Old English
lay,62,lay,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
opened,62,open,English,,English
sit,62,sit,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German;American English
taken,62,,,,
till,62,till,Old English,Old Norse,Old English;Old Norse;Germanic;Old Frisian;German
lebeziatnikov,61,,,,
noticed,61,,,,
petrovna,61,,,,
romanovitch,61,,,,
straight,61,,,,
work,61,work,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;Old Norse;Middle Dutch;German
ill,60,ill,Old Norse,,Old Norse
mr,60,,,,
pale,60,pale,Old French,Latin,Old French;Latin
silence,60,,,,
whom,60,whom,Old English,Germanic,Old English;Germanic
window,60,window,Old Norse,Old English,Old Norse;Old English;Germanic;Latin;German
certainly,59,,,,
dear,59,dear,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Middle Dutch;Dutch;German
hour,59,hour,Old French,Latin,Old French;Latin;Greek;Old English;German
marfa,59,,,,
certain,58,certain,Old French,Latin,Old French;Latin;Italian;Spanish
landlady,58,,,,
lost,58,,,,
many,58,many,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Slavonic;Old Irish;Welsh
next,58,next,Old English,Germanic,Old English;Germanic;Old Norse;Dutch;German
ten,58,ten,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;Old Dutch;German;Sanskrit;Greek;Latin;Spanish;French;Slavonic;Old Irish;Welsh
anyone,57,anyone,Old English,,Old English
blood,57,,,,
days,57,day,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;Old Frisian;German;Old Norse;Latin;Sanskrit
ever,57,ever,Old English,Germanic,Old English;Germanic
leave,57,leave,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Greek;Slavonic;Sanskrit
love,56,love,Old English,Germanic,Old English;Germanic;German
whether,56,whether,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;German;Sanskrit;Greek;Latin;Slavonic
axe,55,axe,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Old Frisian;German;Greek;Latin
crowd,55,,,,
getting,55,get,Old Norse,Germanic,Old Norse;Germanic;Greek;Latin;Welsh;Slavonic;Old English;Dutch
