ranked languages,root language,second language,word,word count
"French,Old French",French,Old French,master,42
,,,o'molloy,42
"French,Old French,Sanskrit,Norse,Greek,Latin",French,Old French,people,42
French,French,,across,41
,,,arms,41
,,,taking,41
,,,wind,41
"Old French,French",Old French,French,around,40
French,French,,bridge,40
"Old French,French",Old French,French,case,40
"Sanskrit,Norse,Old French,French,Greek,Latin",Sanskrit,Norse,end,40
"French,Old French",French,Old French,form,40
,,,laughing,40
French,French,,point,40
"Greek,Old Norse,Old French,French,Latin,Sanskrit,Norse",Greek,Old Norse,set,40
,,,waiting,40
,,,blood,39
,,,ca,39
,,,comes,39
,,,gerty,39
"French,Old French,Latin,Greek",French,Old French,hope,39
"Greek,Old French,French",Greek,Old French,keep,39
"Greek,Sanskrit,Old French,French,Latin",Greek,Sanskrit,next,39
,,,p,39
,,,simon,39
"Dutch,American English,Old English,Germanic,Latin,German,Old French,French,Old Frisian,Old Saxon,Greek,Sanskrit,Old Norse,Norse,Old Irish,Welsh,English,Irish",Dutch,American English,six,39
,,,soul,39
,,,walk,39
,,,walking,39
,,,wanted,39
,,,ah,38
,,,cold,38
French,French,,fair,38
,,,fingers,38
,,,forward,38
"Norse,Sanskrit,Old French,French,Latin,Greek",Norse,Sanskrit,free,38
French,French,,ill,38
,,,passing,38
,,,saint,38
"French,Old French",French,Old French,saying,38
"Sanskrit,German,Old French,French,Greek,Latin,Old Norse,Norse",Sanskrit,German,shall,38
,,,sitting,38
French,French,,slowly,38
,,,ten,38
"Old French,Latin,Greek,Sanskrit,French",Old French,Latin,turn,38
"Norse,German,Old French,French,Greek,Latin,Sanskrit,Old Norse",Norse,German,work,38
,,,cowley,37
,,,deasy,37
"Greek,Latin,Sanskrit,Norse,Old French,French,German,Old Norse,Germanic",Greek,Latin,dog,37
French,French,,foot,37
,,,getting,37
,,,grey,37
"Germanic,Greek,German,Old French,French,Sanskrit,Latin,Old Norse,Norse",Germanic,Greek,holy,37
"French,Old French,Latin,Sanskrit,Greek",French,Old French,human,37
"Greek,Old French,French",Greek,Old French,idea,37
"Old Norse,Old French,French,Latin,Greek,Norse,Sanskrit",Old Norse,Old French,road,37
"Old French,French",Old French,French,show,37
French,French,,warm,37
French,French,,bronze,36
,,,crawford,36
,,,laid,36
,,,leopold,36
,,,line,36
,,,met,36
"French,Old French",French,Old French,nature,36
French,French,,ought,36
,,,pounds,36
,,,richie,36
"German,Germanic,Old Norse,Greek,Norse,Old French,French,American English,English,Latin,Sanskrit,Old English,Welsh",German,Germanic,brother,35
"French,Old French",French,Old French,damn,35
"English,American English,German,Latin,Old Norse,Old French,French,Greek,Sanskrit,Norse,Germanic",English,American English,daughter,35
"Old Norse,Sanskrit,Norse,Old French,German,French,Greek,Latin",Old Norse,Sanskrit,hard,35
"Latin,Norse,Old French,French,Sanskrit,Greek,German,Old Norse",Latin,Norse,king,35
French,French,,lady,35
"French,Greek,Old French",French,Greek,person,35
,,,telling,35
French,French,,trousers,35
French,French,,wall,35
French,French,,answer,34
"German,Old Norse,Old French,French,Greek,Latin,Norse,Sanskrit,Germanic",German,Old Norse,ask,34
,,,boots,34
"French,Old French,Latin,Greek",French,Old French,country,34
"Sanskrit,Old Norse,Old French,Norse,American English,Germanic,French,English,Welsh,Old English,German,Latin,Greek",Sanskrit,Old Norse,cup,34
"Old French,French",Old French,French,fire,34
,,,job,34
,,,laughed,34
"Germanic,Old Norse,Greek,Norse,Old French,French,Latin,Sanskrit,German",Germanic,Old Norse,nose,34
"French,Old French",French,Old French,office,34
French,French,,quick,34
"Greek,Latin,Old French,French",Greek,Latin,rather,34
