word,word count,root word,root language,second language,ranked languages
obscure,18,obscure,French,Latin,French;Latin
pay,18,pay,Old French,Latin,Old French;Latin;English
positive,18,,,,
precepts,18,precept,Old French,Latin,Old French;Latin
protect,18,protect,Latin,,Latin
quality,18,quality,Old French,Latin,Old French;Latin;Greek
questions,18,question,Old French,Latin,Old French;Latin
rebellion,18,rebellion,Old French,Latin,Old French;Latin
render,18,,,,
resist,18,resist,Old French,Latin,Old French;Latin
sam,18,,,,
saviours,18,saviour,English,,English
seed,18,,,,
senate,18,senate,Old French,Latin,Old French;Latin
servant,18,servant,Old French,Latin,Old French;Latin;Greek
stranger,18,stranger,Old French,Latin,Old French;Latin;English;American English
sudden,18,sudden,Old French,Latin,Old French;Latin
suffer,18,suffer,Old French,Latin,Old French;Latin;Old English
tongue,18,,,,
writer,18,writer,Old English,,Old English
10,17,,,,
4,17,,,,
7,17,,,,
ability,17,ability,Old French,Latin,Old French;Latin;English
annexed,17,annex,French,,French
answered,17,answer,Old English,,Old English
appetites,17,appetite,Old French,Latin,Old French;Latin
aversion,17,aversion,French,Latin,French;Latin
avoyd,17,,,,
baptize,17,baptize,Old French,Latin,Old French;Latin;Greek
become,17,become,Old English,Germanic,Old English;Germanic;Dutch;German
begin,17,begin,Old English,Germanic,Old English;Germanic;German;Old Frisian;Middle Dutch;Dutch
capitall,17,,,,
cities,17,city,Old French,Latin,Old French;Latin;Italian;Spanish;Old English;American English
commodities,17,commodity,French,Latin,French;Latin
confirmed,17,,,,
controversie,17,,,,
controversies,17,controversy,Old French,Latin,Old French;Latin
courage,17,courage,Old French,Latin,Old French;Latin;Italian;Spanish;Old English
credit,17,credit,French,Italian,French;Italian;Latin;English;American English
destroy,17,destroy,Old French,Latin,Old French;Latin;Italian
difficult,17,difficult,French,Latin,French;Latin
els,17,el,American English,English,American English;English
examine,17,examine,Old French,Latin,Old French;Latin
fancies,17,,,,
hitherto,17,,,,
industry,17,industry,Old French,Latin,Old French;Latin
inferre,17,,,,
inferred,17,infer,Latin,Sanskrit,Latin;Sanskrit;Greek;Old Irish;Old English;German;Old Norse;Slavonic;Russian
inspiration,17,inspiration,Old French,Latin,Old French;Latin;English
interpreted,17,interpret,Old French,Latin,Old French;Latin;Sanskrit
motions,17,motion,Old French,Latin,Old French;Latin
nay,17,nay,Old Norse,,Old Norse
philosophers,17,philosopher,Old English,Latin,Old English;Latin;Greek;Old French;German
policy,17,policy,French,Latin,French;Latin;Greek
precept,17,precept,Old French,Latin,Old French;Latin
pretence,17,,,,
price,17,price,Old French,,Old French
proceeds,17,,,,
reasons,17,reason,Old French,Latin,Old French;Latin;Old English
requireth,17,,,,
satan,17,satan,Old English,Latin,Old English;Latin;Greek
schools,17,school,Old English,Latin,Old English;Latin;Greek;Old French;Spanish;Italian;German;Welsh;Russian
successors,17,successor,Old French,Latin,Old French;Latin
thinks,17,think,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;German;Old Norse
torments,17,torment,Old French,Latin,Old French;Latin
united,17,,,,
violation,17,violation,Old French,Latin,Old French;Latin
visions,17,vision,Old French,Latin,Old French;Latin;Sanskrit;Greek;Old Irish;Welsh;Old English;German;Polish
wrong,17,wrong,Old English,Old Norse,Old English;Old Norse;Germanic;Middle Dutch;Dutch;Latin;Italian;French;American English
ye,17,ye,Old English,Old Frisian,Old English;Old Frisian;Old Saxon;Middle Dutch;Dutch;Sanskrit;Greek;Old Norse;German
19,16,,,,
22,16,,,,
above,16,above,Old English,Germanic,Old English;Germanic;Old Saxon;German
accident,16,accident,Old French,Latin,Old French;Latin
almighty,16,almighty,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse;Latin
ascension,16,ascension,Latin,,Latin
becomes,16,become,Old English,Germanic,Old English;Germanic;Dutch;German
break,16,break,Old English,Germanic,Old English;Germanic;Old Frisian;Dutch;German;Italian
ceremonies,16,ceremony,Old French,Latin,Old French;Latin;English
civil,16,civil,Old French,Latin,Old French;Latin;English
deceive,16,deceive,Old French,Latin,Old French;Latin
definitions,16,definition,Old French,Latin,Old French;Latin
degree,16,degree,Old French,Latin,Old French;Latin;English
disputed,16,dispute,Old French,Latin,Old French;Latin
dissolved,16,dissolve,Latin,,Latin
eminent,16,eminent,Old French,Latin,Old French;Latin
entred,16,entre,French,,French
erre,16,,,,
face,16,,,,
gives,16,give,Old English,Germanic,Old English;Germanic;Old Frisian;Middle Dutch;Dutch;German;Old Norse
greatnesse,16,,,,
hostility,16,hostility,French,Latin,French;Latin
injuries,16,injury,French,Latin,French;Latin
instruction,16,instruction,Old French,Latin,Old French;Latin
interpreter,16,interpreter,Old French,Latin,Old French;Latin
