word,word count,root word,root language,second language,ranked languages
have,395,have,Old English,Germanic,Old English;Germanic;Old Norse;Old Saxon;Old Frisian;German;Latin;American English
all,362,all,Old English,Germanic,Old English;Germanic;Old Frisian;German;Old Norse
are,343,are,Old English,Old Norse,Old English;Old Norse
this,327,this,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Old Norse;Middle Dutch;Dutch;German
them,321,them,Old Norse,Old English,Old Norse;Old English
one,315,one,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;Dutch;German;Greek;Latin;Slavonic;Old Irish;French
no,314,no,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
so,275,so,Old English,Germanic,Old English;Germanic;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Old Frisian;Greek
him,266,him,Old English,German,Old English;German;Dutch
can,261,can,Old English,Germanic,Old English;Germanic;Old Norse;Old Frisian;German
sect,253,sect,Old French,Latin,Old French;Latin
from,248,from,Old English,Germanic,Old English;Germanic;Old Saxon;German;Old Norse
with,240,with,Old English,Germanic,Old English;Germanic;Old Saxon;Old Norse;Middle Dutch;Dutch;Sanskrit;Slavonic;Latin;French
has,229,,,,
who,226,who,Old English,Germanic,Old English;Germanic;Old Saxon;Old Frisian;Dutch;German;Sanskrit;Latin;Slavonic;Russian;Old Irish;Welsh
may,225,may,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Greek;Slavonic;Sanskrit
men,225,,,,
man,223,man,Old English,Germanic,Old English;Germanic;Old Saxon;Dutch;German;Old Norse;Sanskrit;Slavonic;Russian;Latin;Old Irish;Welsh;Greek
right,221,right,Old English,Germanic,Old English;Germanic;Old Frisian;Old Saxon;Middle Dutch;Dutch;German;Old Norse;Greek;Latin;Old Irish;Welsh
i,208,,,,
being,207,,,,
government,207,government,Old French,English,Old French;English
